Business Name,Category,Address,Phone,Website,Rating,Reviews,Google Maps URL
C&J Property Care,Pressure washing service,,+61 478 001 908,https://www.cjpropertycare.com.au/,5,7,https://www.google.com/maps/search/?api=1&query=C%26J%20Property%20Care&query_place_id=ChIJY0tm5zDeC6YRv_Az3z0iH6M
Adelaide Master Guttering,Roofing contractor,"29 Robert Ct, Para Hills SA 5096, Australia",+61 430 028 952,https://www.adelaidemasterguttering.com.au/,4.9,44,https://www.google.com/maps/search/?api=1&query=Adelaide%20Master%20Guttering&query_place_id=ChIJtXK7uWC1sGoRC88aRJ2C3CY
Heights Roofing And Guttering,Roofing contractor,,+61 433 920 694,,5,4,https://www.google.com/maps/search/?api=1&query=Heights%20Roofing%20And%20Guttering&query_place_id=ChIJubDG_IzlXUwRRoIljdXUh_w
Axon Roofing and Guttering,Roofing contractor,,+61 427 888 552,https://www.axonroofingandguttering.com.au/,4.6,11,https://www.google.com/maps/search/?api=1&query=Axon%20Roofing%20and%20Guttering&query_place_id=ChIJJe-g2cd5oocRyh9v8osjsx8
Pro Roof and Gutter,Roofing contractor,"6/6 Trimmer Rd, Elizabeth South SA 5112, Australia",+61 8 7221 1665,https://proroofandgutter.com.au/,4.6,100,https://www.google.com/maps/search/?api=1&query=Pro%20Roof%20and%20Gutter&query_place_id=ChIJ1-Ou0v6zsGoRhjpodMUznt0
Jessie's Pigeon Proofing Solar Panel Soft Wash Pressure Cleaning Pty Ltd,Solar panel maintenance service,,+61 413 964 501,https://www.facebook.com/share/1AZpA6QQEP/,5,2,https://www.google.com/maps/search/?api=1&query=Jessie's%20Pigeon%20Proofing%20Solar%20Panel%20Soft%20Wash%20Pressure%20Cleaning%20Pty%20Ltd&query_place_id=ChIJz55ujTAd-K0RNXRFW_-KHD4
Manners Building and Carpentry,Home builder,,+61 410 582 416,https://mannersbuildingandcarpentry.com.au/,5,8,https://www.google.com/maps/search/?api=1&query=Manners%20Building%20and%20Carpentry&query_place_id=ChIJUXJPiOvruWoRAc5ZFZA6w0c
"TKP Construction - Carpentry, Mini-Renos & Pergolas",Home builder,"230 Angaston Rd, Nuriootpa SA 5355, Australia",+61 411 823 544,https://tkpconstruction.com.au/,5,1,https://www.google.com/maps/search/?api=1&query=TKP%20Construction%20-%20Carpentry%2C%20Mini-Renos%20%26%20Pergolas&query_place_id=ChIJzzGEQe_ruWoRTCtZ3HTzT9c
Saxony Building,Custom home builder,"4 John St, Tanunda SA 5352, Australia",+61 403 801 990,http://www.saxonybuilding.com.au/,5,2,https://www.google.com/maps/search/?api=1&query=Saxony%20Building&query_place_id=ChIJ82Xlev_CuWoRqYCPq2-3XU0
Kroepsch Construction,Shed builder,"14 Old Sturt Hwy, Nuriootpa SA 5355, Australia",+61 8 7082 0491,,5,3,https://www.google.com/maps/search/?api=1&query=Kroepsch%20Construction&query_place_id=ChIJe3bCdAb-kWcRSaEp-WamElM
HSD Building Pty,Construction company,,+61 400 550 559,https://hsdbuilding.com.au/,5,1,https://www.google.com/maps/search/?api=1&query=HSD%20Building%20Pty&query_place_id=ChIJ-aJbA36P80cRQxdVeoNjHr4
BCC Services,Property maintenance,,+61 438 358 406,http://www.bccservices.com.au/,5,7,https://www.google.com/maps/search/?api=1&query=BCC%20Services&query_place_id=ChIJl33Y5RtTTGER3yoPo3QYus0
Integrity New Homes Barossa,Custom home builder,,+61 1300 886 793,https://www.inh.com.au/barossa,5,3,https://www.google.com/maps/search/?api=1&query=Integrity%20New%20Homes%20Barossa&query_place_id=ChIJuUiU9bTtuWoRn9VCYhKzQds
Bartsch Builders,Home builder,"3/29 Magnolia St, Tanunda SA 5352, Australia",+61 8 8563 3293,http://bartschbuilders.com.au/,4.5,2,https://www.google.com/maps/search/?api=1&query=Bartsch%20Builders&query_place_id=ChIJWSFU_s_ouWoR6wwfuPuN1HM
Barossa Carpenters & Builders,Builder,"2 Johann Mattner Ct, Lyndoch SA 5351, Australia",+61 415 678 448,,1,1,https://www.google.com/maps/search/?api=1&query=Barossa%20Carpenters%20%26%20Builders&query_place_id=ChIJu0BgYKv8uWoR-etTapfw9Kc
BGI Building Group Barossa,Shed builder,"21 Tanunda Rd, Nuriootpa SA 5355, Australia",+61 8 8562 2799,http://www.bgibg.com.au/,4.1,9,https://www.google.com/maps/search/?api=1&query=BGI%20Building%20Group%20Barossa&query_place_id=ChIJmYw9mdDruWoRizpCDq5wOy8

